Div,Date,HomeTeam,AwayTeam,FTHG,FTAG
F1,17/03/2025,Marseille,Paris SG,0,5
F1,18/03/2025,Rennes,Lyon,1,1
F1,18/03/2025,Strasbourg,Lille,0,1
F1,18/03/2025,Montpellier,Clermont,0,2
F1,23/03/2025,Nantes,Le Havre,1,1
F1,23/03/2025,Paris SG,Montpellier,3,2
F1,23/03/2025,Paris SG,Strasbourg,2,1
F1,24/03/2025,Toulouse,Strasbourg,1,2
F1,24/03/2025,Lille,Nantes,1,1
F1,24/03/2025,Strasbourg,Le Havre,2,0
F1,25/03/2025,Clermont,Marseille,1,1
F1,25/03/2025,Nantes,Monaco,5,1
F1,25/03/2025,Nice,Lyon,2,0
F1,30/03/2025,Lorient,Strasbourg,0,2
F1,30/03/2025,Monaco,Toulouse,4,2
F1,30/03/2025,Lens,Toulouse,1,1
F1,31/03/2025,Nantes,Lyon,1,2
F1,31/03/2025,Clermont,Reims,3,3
F1,31/03/2025,Clermont,Lyon,1,0
F1,01/04/2025,Metz,Lille,1,2
F1,01/04/2025,Strasbourg,Brest,1,1
F1,01/04/2025,Nice,Montpellier,1,0
F1,06/04/2025,Strasbourg,Lorient,1,1
F1,06/04/2025,Reims,Strasbourg,3,1
F1,06/04/2025,Strasbourg,Nantes,2,1
F1,07/04/2025,Brest,Lorient,0,0
F1,07/04/2025,Toulouse,Le Havre,3,1
F1,07/04/2025,Nice,Lens,3,4
F1,08/04/2025,Lille,Reims,2,1
F1,08/04/2025,Nice,Reims,4,0
F1,08/04/2025,Monaco,Lens,0,3
